region,district,latitude,longitude
Karas,Karasburg,-28.0164,18.7413
Karas,Keetmanshoop,-26.5672,18.1528
Karas,Luderitz,-26.6405,15.1664
Erongo,Omaruru,-21.4307,15.9496
Erongo,Swakopmund,-22.6701,14.5308
Erongo,Usakos,-21.9902,15.5861
Erongo,Walvis Bay,-22.9608,14.5047
Hardap,Mariental,-24.6232,17.9661
Hardap,Rehoboth,-23.3261,17.0764
Kavango West,Nankudu,-17.74,18.7333
Kavango  East,Andara,-18.0609,21.4472
Kavango  East,Nyangana,-18.0037,20.6765
Kavango  East,Rundu,-17.9146,19.7677
Khomas,Windhoek,-22.5413,17.0764
Kunene,Khorixas,-20.3786,14.9688
Kunene,Opuwo,-18.0558,13.8417
Kunene,Outjo,-20.1056,16.1563
Ohangwena,Eenhana,-17.4839,16.3276
Ohangwena,Engela,-17.4492,15.8671
Ohangwena,Okongo,-17.5749,17.2205
Omaheke,Gobabis,-22.4555,18.976
Omusati,Okahao,-17.888,15.0708
Omusati,Oshikuku,-17.6604,15.4762
Omusati,Outapi,-17.5155,14.9851
Omusati,Tsandi,-17.7468,14.8854
Oshana,Oshakati,-17.7824,15.7354
Oshikoto,Omuthiya,-18.3653,16.5797
Oshikoto,Onandjokwe,-17.9117,16.0417
Oshikoto,Tsumeb,-19.2435,17.714
Otjozondjupa,Grootfontein,-19.5629,18.0936
Otjozondjupa,Okahandja,-21.9804,16.9119
Otjozondjupa,Okakarara,-20.5893,17.4513
Otjozondjupa,Otjiwarongo,-20.462,16.6559
Zambezi,Katima Mulilo,-17.4994,24.2788
Hardap,Aranos,-24.1392,19.1175
